month,beat,firstporace,total,white,black,hispanic,other
201401,0111,ASIAN/PACIFIC ISLANDER,1,0,1,0,0
201401,0111,BLACK,28,13,11,3,1
201401,0111,HISPANIC,46,10,29,7,0
201401,0111,WHITE,123,28,84,6,5
201401,0112,ASIAN/PACIFIC ISLANDER,4,0,4,0,0
201401,0112,BLACK,24,6,9,7,2
201401,0112,HISPANIC,30,2,21,4,3
201401,0112,WHITE,85,18,56,7,4
201401,0113,ASIAN/PACIFIC ISLANDER,2,0,2,0,0
201401,0113,BLACK,18,1,15,2,0
201401,0113,HISPANIC,15,4,9,1,1
201401,0113,WHITE,86,16,61,7,2
201401,0114,BLACK,30,14,9,2,5
201401,0114,HISPANIC,25,4,21,0,0
201401,0114,WHITE,69,12,52,2,3
201401,0121,ASIAN/PACIFIC ISLANDER,8,4,4,0,0
201401,0121,BLACK,10,5,3,1,1
201401,0121,HISPANIC,13,2,6,4,1
201401,0121,WHITE,46,16,28,0,2
201401,0122,ASIAN/PACIFIC ISLANDER,2,0,2,0,0
201401,0122,BLACK,32,7,22,1,2
201401,0122,HISPANIC,34,13,18,3,0
201401,0122,WHITE,96,25,62,6,3
201401,0123,ASIAN/PACIFIC ISLANDER,1,0,1,0,0
201401,0123,BLACK,49,9,37,1,2
201401,0123,HISPANIC,13,1,10,1,1
201401,0123,WHITE,65,17,43,5,0
201401,0124,AMER IND/ALASKAN NATIVE,1,1,0,0,0
201401,0124,BLACK,30,11,16,2,1
201401,0124,HISPANIC,11,6,5,0,0
201401,0124,WHITE,28,4,20,2,2
201401,0131,BLACK,46,11,21,5,9
201401,0131,HISPANIC,29,6,21,2,0
201401,0131,WHITE,54,10,37,6,1
201401,0132,BLACK,17,9,5,2,1
201401,0132,HISPANIC,17,4,7,6,0
201401,0132,WHITE,21,5,12,3,1
201401,0133,BLACK,17,1,14,0,2
201401,0133,HISPANIC,11,0,9,1,1
201401,0133,WHITE,30,5,20,1,4
201401,0211,AMER IND/ALASKAN NATIVE,2,0,2,0,0
201401,0211,ASIAN/PACIFIC ISLANDER,1,0,1,0,0
201401,0211,BLACK,67,3,58,1,5
201401,0211,HISPANIC,19,0,19,0,0
201401,0211,WHITE,33,2,31,0,0
201401,0212,AMER IND/ALASKAN NATIVE,4,0,4,0,0
201401,0212,BLACK,57,4,51,2,0
201401,0212,HISPANIC,20,0,16,4,0
201401,0212,WHITE,29,0,28,1,0
201401,0213,AMER IND/ALASKAN NATIVE,1,0,1,0,0
201401,0213,ASIAN/PACIFIC ISLANDER,1,0,1,0,0
201401,0213,BLACK,50,0,47,3,0
201401,0213,HISPANIC,26,0,25,1,0
201401,0213,WHITE,37,3,32,1,1
201401,0214,BLACK,46,1,42,3,0
201401,0214,HISPANIC,9,0,9,0,0
201401,0214,WHITE,9,0,9,0,0
201401,0215,AMER IND/ALASKAN NATIVE,2,0,2,0,0
201401,0215,ASIAN/PACIFIC ISLANDER,2,0,2,0,0
201401,0215,BLACK,58,3,50,1,4
