beat,firstporace,total,white,black,hispanic,other
0111,ASIAN/PACIFIC ISLANDER,39,16,20,2,1
0111,WHITE,1162,326,691,99,46
0111,HISPANIC,351,80,238,30,3
0111,AMER IND/ALASKAN NATIVE,1,0,1,0,0
0111,BLACK,419,109,263,27,20
0112,AMER IND/ALASKAN NATIVE,4,2,1,0,1
0112,HISPANIC,211,33,149,23,6
0112,BLACK,231,75,116,27,13
0112,ASIAN/PACIFIC ISLANDER,51,9,36,5,1
0112,WHITE,873,235,548,64,26
0113,WHITE,907,175,653,62,17
0113,ASIAN/PACIFIC ISLANDER,44,16,22,6,0
0113,BLACK,296,57,211,17,11
0113,HISPANIC,254,50,186,12,6
0114,AMER IND/ALASKAN NATIVE,1,0,1,0,0
0114,WHITE,636,202,340,65,29
0114,BLACK,249,78,123,22,26
0114,HISPANIC,193,63,107,22,1
0114,ASIAN/PACIFIC ISLANDER,12,2,5,2,3
0121,AMER IND/ALASKAN NATIVE,3,1,2,0,0
0121,BLACK,84,37,39,3,5
0121,HISPANIC,152,44,91,11,6
0121,ASIAN/PACIFIC ISLANDER,21,9,11,1,0
0121,WHITE,635,227,329,23,56
0122,WHITE,876,259,520,65,32
0122,HISPANIC,304,66,199,33,6
0122,AMER IND/ALASKAN NATIVE,1,0,1,0,0
0122,ASIAN/PACIFIC ISLANDER,30,9,17,4,0
0122,BLACK,281,74,164,26,17
0123,HISPANIC,253,40,184,19,10
0123,AMER IND/ALASKAN NATIVE,1,0,1,0,0
0123,BLACK,584,128,397,37,22
0123,ASIAN/PACIFIC ISLANDER,18,4,7,7,0
0123,WHITE,853,202,553,54,44
0124,BLACK,412,79,280,40,13
0124,ASIAN/PACIFIC ISLANDER,46,4,39,2,1
0124,AMER IND/ALASKAN NATIVE,3,1,2,0,0
0124,HISPANIC,363,67,268,22,6
0124,WHITE,678,90,550,30,8
0131,HISPANIC,312,55,229,23,5
0131,ASIAN/PACIFIC ISLANDER,33,9,21,0,3
0131,WHITE,686,117,458,81,30
0131,BLACK,417,92,260,30,35
0131,AMER IND/ALASKAN NATIVE,6,2,3,0,1
0132,WHITE,393,203,119,56,15
0132,ASIAN/PACIFIC ISLANDER,15,3,11,0,1
0132,HISPANIC,123,27,63,23,10
0132,BLACK,182,59,83,27,13
0132,AMER IND/ALASKAN NATIVE,10,0,10,0,0
0133,ASIAN/PACIFIC ISLANDER,36,4,32,0,0
0133,HISPANIC,236,11,215,6,4
0133,BLACK,190,17,153,7,13
0133,AMER IND/ALASKAN NATIVE,3,0,3,0,0
0133,WHITE,269,31,216,11,11
0211,WHITE,603,35,549,6,13
0211,BLACK,771,34,698,17,22
0211,ASIAN/PACIFIC ISLANDER,31,1,29,1,0
0211,AMER IND/ALASKAN NATIVE,140,4,134,2,0
0211,HISPANIC,247,22,218,4,3
0212,UNKNOWN,1,0,1,0,0
0212,BLACK,1275,50,1173,39,13
0212,AMER IND/ALASKAN NATIVE,111,2,109,0,0
0212,HISPANIC,388,8,373,7,0
0212,WHITE,833,17,804,10,2
0212,ASIAN/PACIFIC ISLANDER,76,3,73,0,0
0213,BLACK,756,27,693,30,6
0213,HISPANIC,320,6,304,8,2
0213,ASIAN/PACIFIC ISLANDER,65,3,59,3,0
0213,AMER IND/ALASKAN NATIVE,46,2,41,2,1
0213,WHITE,565,40,491,22,12
0214,AMER IND/ALASKAN NATIVE,18,0,18,0,0
0214,HISPANIC,227,1,223,3,0
0214,ASIAN/PACIFIC ISLANDER,30,0,29,1,0
0214,WHITE,303,2,296,4,1
0214,BLACK,821,18,781,13,9
0215,HISPANIC,468,6,456,3,3
0215,AMER IND/ALASKAN NATIVE,20,0,20,0,0
0215,ASIAN/PACIFIC ISLANDER,65,0,62,3,0
0215,BLACK,825,16,780,16,13
0215,WHITE,738,7,719,7,5
0221,HISPANIC,346,5,338,0,3
0221,BLACK,628,14,603,8,3
0221,WHITE,570,6,557,7,0
0221,ASIAN/PACIFIC ISLANDER,61,0,61,0,0
0221,AMER IND/ALASKAN NATIVE,25,0,25,0,0
0222,ASIAN/PACIFIC ISLANDER,27,0,26,1,0
0222,BLACK,809,50,724,22,13
0222,WHITE,245,12,222,8,3
0222,AMER IND/ALASKAN NATIVE,18,0,18,0,0
0222,UNKNOWN,1,0,0,0,1
0222,HISPANIC,228,19,199,8,2
0223,HISPANIC,205,5,199,1,0
0223,BLACK,795,15,764,10,6
0223,WHITE,359,7,344,3,5
0223,AMER IND/ALASKAN NATIVE,17,0,17,0,0
0223,UNKNOWN,1,1,0,0,0
0223,ASIAN/PACIFIC ISLANDER,39,1,37,0,1
0224,AMER IND/ALASKAN NATIVE,19,0,19,0,0
0224,WHITE,790,8,766,14,2
0224,HISPANIC,417,16,392,7,2
0224,BLACK,1029,16,988,13,12
0224,ASIAN/PACIFIC ISLANDER,66,0,65,1,0
0225,ASIAN/PACIFIC ISLANDER,82,2,78,2,0
0225,AMER IND/ALASKAN NATIVE,58,0,58,0,0
0225,HISPANIC,601,12,572,12,5
0225,BLACK,1718,40,1621,35,22
0225,WHITE,977,26,931,17,3
0231,BLACK,1161,31,1103,16,11
0231,WHITE,1049,16,1023,5,5
0231,AMER IND/ALASKAN NATIVE,33,0,33,0,0
0231,HISPANIC,617,11,594,12,0
0231,ASIAN/PACIFIC ISLANDER,108,3,100,3,2
0232,AMER IND/ALASKAN NATIVE,30,0,30,0,0
0232,ASIAN/PACIFIC ISLANDER,121,0,120,0,1
0232,HISPANIC,868,13,842,10,3
0232,BLACK,1399,19,1354,20,6
0232,WHITE,1180,18,1148,11,3
0233,WHITE,229,8,214,5,2
0233,BLACK,674,59,580,15,20
0233,AMER IND/ALASKAN NATIVE,7,0,7,0,0
0233,ASIAN/PACIFIC ISLANDER,50,6,43,1,0
0233,HISPANIC,193,1,187,3,2
0234,AMER IND/ALASKAN NATIVE,5,0,5,0,0
0234,WHITE,184,16,158,5,5
0234,HISPANIC,45,3,40,1,1
0234,ASIAN/PACIFIC ISLANDER,14,3,10,1,0
0234,BLACK,703,102,552,23,26
0235,WHITE,71,8,57,4,2
0235,BLACK,429,112,290,14,13
0235,AMER IND/ALASKAN NATIVE,2,1,1,0,0
0235,ASIAN/PACIFIC ISLANDER,11,2,7,1,1
0235,HISPANIC,64,13,46,4,1
0311,ASIAN/PACIFIC ISLANDER,93,2,91,0,0
0311,WHITE,949,21,913,11,4
0311,AMER IND/ALASKAN NATIVE,4,0,4,0,0
0311,BLACK,924,26,869,24,5
0311,HISPANIC,605,8,582,11,4
0312,ASIAN/PACIFIC ISLANDER,248,7,238,3,0
0312,WHITE,2684,35,2611,31,7
0312,HISPANIC,1438,16,1388,22,12
0312,AMER IND/ALASKAN NATIVE,3,0,3,0,0
0312,BLACK,2095,52,2006,29,8
0313,HISPANIC,965,12,941,7,5
0313,BLACK,1093,12,1062,15,4
0313,ASIAN/PACIFIC ISLANDER,158,2,155,1,0
0313,WHITE,1469,18,1439,10,2
0314,HISPANIC,212,4,202,2,4
0314,BLACK,536,17,501,13,5
0314,ASIAN/PACIFIC ISLANDER,31,0,31,0,0
0314,WHITE,533,10,515,6,2
0321,WHITE,3015,49,2924,34,8
0321,HISPANIC,1359,20,1314,15,10
0321,BLACK,1560,33,1495,27,5
0321,ASIAN/PACIFIC ISLANDER,261,1,260,0,0
0322,WHITE,2084,36,2019,24,5
0322,HISPANIC,866,11,844,8,3
0322,ASIAN/PACIFIC ISLANDER,195,1,191,2,1
0322,BLACK,1073,16,1038,11,8
0323,WHITE,2126,37,2058,25,6
0323,BLACK,1444,15,1404,19,6
0323,HISPANIC,1018,9,986,15,8
0323,ASIAN/PACIFIC ISLANDER,293,2,289,1,1
0324,ASIAN/PACIFIC ISLANDER,122,0,122,0,0
0324,BLACK,1133,25,1086,17,5
0324,WHITE,1131,7,1106,15,3
0324,HISPANIC,693,13,674,5,1
0331,BLACK,1579,14,1523,30,12
0331,WHITE,1300,19,1236,35,10
0331,ASIAN/PACIFIC ISLANDER,150,0,150,0,0
0331,"",1,0,1,0,0
0331,HISPANIC,751,8,721,17,5
0332,WHITE,1333,17,1299,13,4
0332,BLACK,1515,20,1462,23,10
0332,ASIAN/PACIFIC ISLANDER,199,0,199,0,0
0332,HISPANIC,835,10,816,6,3
0333,HISPANIC,510,7,494,7,2
0333,ASIAN/PACIFIC ISLANDER,105,0,102,2,1
0333,BLACK,930,15,896,12,7
0333,WHITE,822,10,798,9,5
0334,HISPANIC,720,27,662,28,3
0334,ASIAN/PACIFIC ISLANDER,68,1,66,1,0
0334,BLACK,769,21,725,16,7
0334,WHITE,991,14,935,36,6
0411,AMER IND/ALASKAN NATIVE,1,0,1,0,0
0411,BLACK,540,7,523,7,3
0411,HISPANIC,308,7,297,3,1
0411,ASIAN/PACIFIC ISLANDER,20,1,19,0,0
0411,WHITE,624,3,613,7,1
0412,WHITE,585,35,534,15,1
0412,HISPANIC,250,9,229,12,0
0412,AMER IND/ALASKAN NATIVE,1,0,1,0,0
0412,BLACK,393,8,377,7,1
0412,ASIAN/PACIFIC ISLANDER,36,1,33,1,1
0413,HISPANIC,267,5,247,14,1
0413,WHITE,702,12,673,15,2
0413,BLACK,299,7,288,3,1
0413,ASIAN/PACIFIC ISLANDER,2,0,2,0,0
0414,AMER IND/ALASKAN NATIVE,1,0,1,0,0
0414,BLACK,801,14,777,7,3
0414,ASIAN/PACIFIC ISLANDER,57,0,57,0,0
